artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition,align_file,album_id,split
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",165.52,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05836.mid",https://www.youtube.com/watch?v=Posai3nMc-s,,5836,Brendel spielt Beethoven (Klavierkonzerte / Klaviersonaten),2010-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05836_infer_corresp.txt",72,train
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",173.493,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05837.mid",https://www.youtube.com/watch?v=USG93OoUDKs,,5837,Beethoven: The Complete Piano Sonatas,2009-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05837_infer_corresp.txt",65,train
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",174.493,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05838.mid",https://www.youtube.com/watch?v=bycvdVSfSvA,,5838,"Beethoven: Piano Sonatas Nos.5, 6 & 7",1996-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05838_infer_corresp.txt",45,train
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",173.506,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05839.mid",https://www.youtube.com/watch?v=qi_yGVGl_wk,,5839,Beethoven: Complete Piano Sonatas,2021-07-23,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05839_infer_corresp.txt",15,train
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",179.44,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840.mid",https://www.youtube.com/watch?v=2I8BhINS28Y,,5840,Gulda plays Beethoven,2005-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840_infer_corresp.txt",80,train
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",228.8,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05847.mid",https://www.youtube.com/watch?v=6lY_nQX_6Yc,,5847,Beethoven: The Last Three Piano Sonatas,2017-04-07,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05847_infer_corresp.txt",67,train
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: IV. Rondo: Allegro",246.533,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05848.mid",https://www.youtube.com/watch?v=VNqeus8fyAc,,5848,"Beethoven: Sonatas Nos. 3, 7 & 19",2009-07-08,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05848_infer_corresp.txt",62,validation
Daniel Barenboim,2,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",241.56,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05863.mid",https://www.youtube.com/watch?v=cLRbXKPFnUk,,5863,Beethoven: Complete Piano Sonatas & Diabelli Variations,2021-08-20,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05863_infer_corresp.txt",17,train
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 4. Rondo. Allegro",263.306,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05865.mid",https://www.youtube.com/watch?v=1PalQKAKh5I,,5865,Beethoven For All - The Piano Sonatas,2006-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05865_infer_corresp.txt",7,train
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 4. Rondo (Allegro)",247.04,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05866.mid",https://www.youtube.com/watch?v=kXt-HEaO40E,,5866,Beethoven: The Piano Sonatas,1984-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05866_infer_corresp.txt",69,train
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",237.96,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05867.mid",https://www.youtube.com/watch?v=K6NpO9c4Riw,,5867,"Milestones of a Piano Legend: Claudio Arrau Plays Beethoven, Vol. 2",2021-08-06,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05867_infer_corresp.txt",89,train
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",243.693,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05868.mid",https://www.youtube.com/watch?v=vH4C_vrWS-I,,5868,Beethoven: Piano Sonatas,2020-02-07,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05868_infer_corresp.txt",24,validation
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.0,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05869.mid",https://www.youtube.com/watch?v=abeow0dLZc0,,5869,Beethoven: Complete Piano Sonatas,2012-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05869_infer_corresp.txt",15,test
Claudio Arrau,1,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",244.146,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05870.mid",https://www.youtube.com/watch?v=fD3h9nejQBw,,5870,Icon: Claudio Arrau,2011-02-21,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05870_infer_corresp.txt",83,train
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",232.8,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05871.mid",https://www.youtube.com/watch?v=GUTuChDgPvU,,5871,"Piano Recital: Arrau, Claudio - Beethoven, L. Van / Brahms, J. (Schwetzinger Festspiele Edition, 1963, 1973)",2009-04-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05871_infer_corresp.txt",100,test
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.986,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05872.mid",https://www.youtube.com/watch?v=kk7hoIavGdg,,5872,Beethoven: Piano Sonatas Nos. 4 & 7,1986-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05872_infer_corresp.txt",38,train
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.96,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05878.mid",https://www.youtube.com/watch?v=TaH5o-wy82A,,5878,Beethoven: Complete Piano Sonatas & Concertos,2010-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05878_infer_corresp.txt",16,validation
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.026,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05879.mid",https://www.youtube.com/watch?v=k1oov3K4_hg,,5879,Brendel spielt Beethoven (Klavierkonzerte / Klaviersonaten),2010-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05879_infer_corresp.txt",72,train
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",215.986,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05882.mid",https://www.youtube.com/watch?v=toJJHrZRMFI,,5882,Beethoven: Complete Piano Sonatas,2021-07-23,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05882_infer_corresp.txt",15,train
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",225.653,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05883.mid",https://www.youtube.com/watch?v=gBYYhc4EFdw,,5883,"Milestones of a Piano Legend: Friedrich Gulda, Vol. 9",2018-10-05,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05883_infer_corresp.txt",92,train
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",237.065,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05885.mid",https://www.youtube.com/watch?v=hY_7Ifp054Q,,5885,Beethoven: Sonatas Nos. 7 - 12,2019-09-13,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05885_infer_corresp.txt",63,train
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo (Allegro)",239.0,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05887.mid",https://www.youtube.com/watch?v=oerhWV0oiLo,,5887,Beethoven: The Piano Sonatas,1995-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05887_infer_corresp.txt",69,train
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto (Live)",581.706,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05894.mid",https://www.youtube.com/watch?v=OU8WofDFSWQ,good quality,5894,"Richter Archives, Vol. 17: 1967 Budapest Recital (Live)",2017-05-19,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05894_infer_corresp.txt",102,train
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",516.4,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05895.mid",https://www.youtube.com/watch?v=jkBZS3pt3iU,,5895,Beethoven: The Last Three Piano Sonatas,2017-04-07,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05895_infer_corresp.txt",67,train
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: II. Largo e Mesto",509.333,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05896.mid",https://www.youtube.com/watch?v=s2eKHX63J28,,5896,"Beethoven: Sonatas Nos. 3, 7 & 19",2009-07-08,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05896_infer_corresp.txt",62,train
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",592.64,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05910.mid",https://www.youtube.com/watch?v=3aNR_XQ2_y8,,5910,Beethoven: Piano Sonatas Nos. 7-12,2020-10-30,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05910_infer_corresp.txt",40,train
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 2. Largo e mesto",646.493,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05912.mid",https://www.youtube.com/watch?v=EOz7WnFctBY,,5912,Beethoven For All - The Piano Sonatas,2006-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05912_infer_corresp.txt",7,train
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 2. Largo e mesto",603.2,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05913.mid",https://www.youtube.com/watch?v=Zygpfc6T6KQ,,5913,Beethoven: The Piano Sonatas,1984-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05913_infer_corresp.txt",69,train
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",618.066,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05914.mid",https://www.youtube.com/watch?v=aEwVHGmB1cI,,5914,"Milestones of a Piano Legend: Claudio Arrau Plays Beethoven, Vol. 2",2021-08-06,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05914_infer_corresp.txt",89,train
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",619.68,Ludwig van Beethoven,1167,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05915.mid",https://www.youtube.com/watch?v=8K7E6G0SES0,,5915,Beethoven: Piano Sonatas,2020-02-07,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05915_infer_corresp.txt",24,train
